Date,High,Low,Open,Close,Volume,Adj Close
2014-12-31,290.57000732421875,286.0,287.4100036621094,286.04998779296875,252900.0,273.0262145996094
2015-01-02,288.92999267578125,282.4100036621094,288.6199951171875,285.3699951171875,356500.0,272.37725830078125
2015-01-05,288.17999267578125,279.989990234375,286.5799865722656,281.3999938964844,293500.0,268.5879211425781
2015-01-06,283.0400085449219,273.1099853515625,282.0,277.82000732421875,482300.0,265.1709899902344
2015-01-07,281.7699890136719,278.3999938964844,280.5899963378906,279.95001220703125,302100.0,267.2039489746094
2015-01-08,288.1300048828125,282.9800109863281,284.57000732421875,287.92999267578125,361900.0,274.8207092285156
2015-01-09,291.25,286.5,287.92999267578125,290.75,384500.0,277.5123291015625
2015-01-12,291.760009765625,289.6199951171875,290.6600036621094,291.3599853515625,598900.0,278.0945129394531
2015-01-13,296.9200134277344,284.8299865722656,293.19000244140625,287.54998779296875,485500.0,274.45794677734375
2015-01-14,287.82000732421875,279.260009765625,285.9200134277344,281.3699951171875,615500.0,268.559326171875
2015-01-15,286.9800109863281,279.25,281.95001220703125,279.6499938964844,342300.0,266.9176025390625
2015-01-16,290.0,279.0400085449219,279.7099914550781,289.54998779296875,440100.0,276.3669128417969
2015-01-20,293.8399963378906,286.2099914550781,289.6099853515625,293.2799987792969,371300.0,279.92706298828125
2015-01-21,297.0899963378906,292.2099914550781,293.2699890136719,294.9200134277344,542400.0,281.492431640625
2015-01-22,295.489990234375,289.9100036621094,295.0,294.42999267578125,485200.0,281.02471923828125
2015-01-23,300.0,292.2300109863281,294.3500061035156,298.5400085449219,428700.0,284.9476013183594
2015-01-26,301.17999267578125,295.4599914550781,297.3599853515625,300.6499938964844,431700.0,286.96148681640625
2015-01-27,299.45001220703125,293.80999755859375,297.9599914550781,294.75,351200.0,281.3301086425781
2015-01-28,297.67999267578125,289.8800048828125,297.6499938964844,290.1000061035156,304000.0,276.8918151855469
2015-01-29,292.92999267578125,286.1499938964844,289.7099914550781,292.92999267578125,327900.0,279.593017578125
2015-01-30,292.7900085449219,288.0299987792969,290.6099853515625,288.8299865722656,397300.0,275.6796569824219
2015-02-02,291.75,281.489990234375,289.3399963378906,291.5199890136719,507200.0,278.2471618652344
2015-02-03,295.54998779296875,290.6199951171875,292.8500061035156,295.2799987792969,365000.0,281.83599853515625
2015-02-04,295.5899963378906,287.8999938964844,293.7900085449219,292.32000732421875,854700.0,279.01080322265625
2015-02-05,289.7300109863281,268.92999267578125,288.8500061035156,279.7300109863281,1853200.0,266.9940490722656
2015-02-06,279.8699951171875,273.2900085449219,279.17999267578125,274.4100036621094,734000.0,261.9162292480469
2015-02-09,275.9599914550781,271.6700134277344,273.92999267578125,273.1199951171875,685000.0,260.68487548828125
2015-02-10,280.2200012207031,275.32000732421875,276.45001220703125,279.44000244140625,606400.0,266.7171936035156
2015-02-11,281.4200134277344,277.7900085449219,279.3500061035156,279.6499938964844,471000.0,266.9176025390625
2015-02-12,285.010009765625,280.0899963378906,280.3900146484375,284.9100036621094,374500.0,271.9381408691406
