Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,AGN,ADS,LNT,ALL,GOOGL
2014-12-31,142.28622436523438,40.25647735595703,51.36492538452149,38.060001373291016,79.9238510131836,19.28087043762207,72.69999694824219,2.6700000762939453,157.50531005859375,11.08377170562744,25.003158569335934,38.82008361816406,115.4669952392578,62.959999084472656,54.46833419799805,54.95928573608398,75.67171478271484,185.02999877929688,55.90999984741211,53.01597213745117,243.0326385498047,273.02621459960943,27.87054252624512,63.60801696777344,530.6599731445311
2015-01-02,142.06106567382812,40.149173736572266,51.71813201904297,37.310001373291016,79.50325775146484,19.261734008789066,72.33999633789062,2.6700000762939453,156.7933349609375,11.027425765991213,24.99907302856445,38.553932189941406,116.42768096923828,63.25,54.98787307739258,55.12380599975586,76.56708526611328,186.6000061035156,56.20000076293945,52.62404251098633,244.6565399169922,272.37725830078125,27.904109954833984,63.49031448364258,529.5499877929689
2015-01-05,138.85719299316406,40.15811538696289,50.74483871459961,37.06999969482422,78.16089630126953,18.99381256103516,71.9800033569336,2.6600000858306885,154.72662353515625,10.713509559631348,24.34421348571777,37.83152389526367,112.70500946044922,61.93999862670898,54.20402145385742,53.2957878112793,77.488037109375,182.1699981689453,56.9900016784668,52.51888656616211,242.35284423828125,268.58792114257807,27.56422615051269,62.23173522949219,519.4600219726561
2015-01-06,137.37652587890622,39.70208740234375,50.4936637878418,36.13000106811523,77.59708404541016,18.6397705078125,70.52999877929688,2.630000114440918,154.61782836914062,10.47203254699707,24.12729835510254,37.2421875,112.66497039794922,60.66999816894531,53.56600570678711,52.253822326660156,77.88029479980469,177.9499969482422,57.45000076293945,52.43285751342773,240.91775512695312,265.17098999023443,27.47610664367676,62.18646621704102,506.6400146484375
2015-01-07,138.372314453125,40.02398300170898,52.534446716308594,37.27999877929688,79.225830078125,18.237886428833008,71.11000061035156,2.5799999237060547,157.94041442871094,10.488130569458008,24.27873420715332,37.736473083496094,113.8818588256836,60.15999984741211,54.38630676269531,52.04360961914063,78.93768310546875,187.92999267578125,59.56999969482422,53.14981079101562,250.41586303710938,267.20394897460943,27.929288864135746,63.2096176147461,505.1499938964844
2015-01-08,141.688720703125,40.84664916992188,53.08388900756836,38.959999084472656,80.43394470214844,18.41969108581543,72.91999816894531,2.609999895095825,159.32484436035156,10.649112701416016,24.516117095947266,38.867618560791016,116.51573181152344,61.56999969482422,55.325111389160156,53.6796760559082,79.84158325195312,183.8000030517578,61.43999862670898,53.86675643920898,253.9375762939453,274.82070922851557,28.369876861572266,64.42292785644531,506.9100036621094
2015-01-09,139.94822692871094,40.41743469238281,51.63179397583008,38.40999984741211,80.3444595336914,18.084789276123047,71.83999633789062,2.630000114440918,158.51397705078125,10.383490562438963,23.996322631835934,38.58244705200195,114.77047729492188,60.77999877929688,54.441001892089844,53.94474411010742,79.61134338378906,184.2700042724609,62.58000183105469,53.41747283935547,253.6731109619141,277.5123291015625,27.967056274414066,63.7619514465332,500.7200012207031
2015-01-12,139.18626403808594,40.75721740722656,51.6161003112793,38.560001373291016,80.10284423828125,18.0465145111084,71.12000274658203,2.630000114440918,157.15921020507812,10.367389678955078,23.85716819763184,38.12619400024414,113.9779052734375,60.75,55.24307250976562,54.566261291503906,80.13152313232422,183.3600006103516,63.16999816894531,52.56669235229492,257.0721435546875,278.09451293945307,27.891521453857425,63.11001205444336,497.05999755859375
2015-01-13,139.08232116699222,40.101016998291016,50.129371643066406,38.810001373291016,80.38919830322266,17.75945472717285,70.58999633789062,2.6600000858306885,152.04681396484375,10.480079650878906,23.73847770690918,37.5938835144043,113.37749481201172,60.790000915527344,55.97222900390625,55.745338439941406,80.39585876464844,179.2100067138672,62.6500015258789,52.67184448242188,254.8249969482422,274.4579467773437,28.08454322814941,63.49031448364258,501.7999877929688
2015-01-14,138.40692138671878,39.804359436035156,50.3745231628418,38.25,79.4495620727539,18.113496780395508,69.98999786376953,2.630000114440918,149.14944458007812,10.576672554016113,23.554298400878906,37.12812042236328,112.0245132446289,59.709999084472656,56.090721130371094,54.4017448425293,80.8733901977539,175.39999389648438,61.06000137329102,52.8917121887207,251.53944396972656,268.559326171875,28.60066032409668,62.86555099487305,505.92999267578125
2015-01-15,138.25105285644528,39.50771713256836,49.73396682739258,37.11000061035156,78.90367126464844,17.7498836517334,70.29000091552734,2.5199999809265137,146.37078857421875,10.544473648071287,23.47653770446777,36.13006591796875,111.64825439453124,58.63000106811523,56.02692794799805,53.08557891845703,81.2230224609375,172.8699951171875,59.63000106811523,51.42913055419922,249.0184783935547,266.9176025390625,28.66780090332031,62.6844482421875,504.010009765625
2015-01-16,140.27731323242188,39.99314498901367,51.03879928588867,37.91999816894531,79.54800415039062,19.37656021118164,71.7300033569336,2.390000104904175,148.3286895751953,10.761800765991213,23.81214904785156,36.35818099975586,111.8483657836914,59.22000122070313,56.829002380371094,53.48774337768555,82.45948028564453,180.44000244140625,56.91999816894531,51.0180778503418,253.6542816162109,276.36691284179693,29.204896926879886,64.14225006103516,510.4599914550781
2015-01-20,140.22532653808594,39.750431060791016,50.17682647705078,37.86999893188477,79.30636596679688,19.347850799560547,71.48999786376953,2.240000009536743,150.95909118652344,10.536423683166504,23.742572784423828,36.05401611328125,113.1853485107422,59.6500015258789,58.87976837158203,52.82965087890625,81.46178436279297,183.05999755859372,56.2400016784668,50.46364212036133,253.9847717285156,279.92706298828125,29.192310333251953,63.70761489868164,509.9400024414063
